5.000000000000000e-01,5.000000000000000e-01
2.256989046656641e-02,9.774301095334336e-01
6.068603975572291e-01,3.931396024427709e-01
5.000000000000000e-01,5.000000000000000e-01
9.772320406856150e-01,2.276795931438494e-02
3.933793997794675e-01,6.066206002205325e-01
9.891201175256049e-01,1.087988247439500e-02
4.999009655760907e-01,5.000990344239092e-01
5.001198986683483e-01,4.998801013316517e-01
5.000000000000000e-01,5.000000000000000e-01
6.066414644649717e-01,3.933585355350284e-01
9.774509737778726e-01,2.254902622212740e-02
